date,sku,name,url,price,stock,availability,model,memory_gb,brand,rolling_median,ever_min,is_sale,is_low,pct_off
2025-10-15,740027,Raspberry Pi 5 4GB Starter Kit - With Official Accessories,https://www.microcenter.com/product/683915/raspberry-pi-5-4gb-starter-kit-with-official-accessories,129.99,In Stock,Usually ships,Pi 5,4.0,Raspberry Pi,,129.99,False,True,
2025-10-13,740035,Raspberry Pi 5 8GB - Ultimate Kit,https://www.microcenter.com/product/683916/raspberry-pi-5-8gb-ultimate-kit,159.99,In Stock,Usually ships,Pi 5,8.0,Raspberry Pi,,159.99,False,True,
2025-10-15,740035,Raspberry Pi 5 8GB - Ultimate Kit,https://www.microcenter.com/product/683916/raspberry-pi-5-8gb-ultimate-kit,159.99,In Stock,Usually ships,Pi 5,8.0,Raspberry Pi,,159.99,False,True,
2025-10-13,740639,Raspberry Pi 4 Accessories Kit,https://www.microcenter.com/product/683904/raspberry-pi-4-accessories-kit,34.99,In Stock,Usually ships,Pi 4,,Raspberry Pi,,34.99,False,True,
2025-10-15,740639,Raspberry Pi 4 Accessories Kit,https://www.microcenter.com/product/683904/raspberry-pi-4-accessories-kit,34.99,In Stock,Usually ships,Pi 4,,Raspberry Pi,,34.99,False,True,
2025-10-13,740647,Raspberry Pi 5 Accessories Kit,https://www.microcenter.com/product/683905/raspberry-pi-5-accessories-kit,44.99,In Stock,Usually ships,Pi 5,,Raspberry Pi,,44.99,False,True,
2025-10-15,740647,Raspberry Pi 5 Accessories Kit,https://www.microcenter.com/product/683905/raspberry-pi-5-accessories-kit,44.99,In Stock,Usually ships,Pi 5,,Raspberry Pi,,44.99,False,True,
2025-10-13,772558,Raspberry Pi AI Hat Plus 13 TOPS,https://www.microcenter.com/product/687346/raspberry-pi-ai-hat-plus-13-tops,69.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,69.99,False,True,
2025-10-15,772558,Raspberry Pi AI Hat Plus 13 TOPS,https://www.microcenter.com/product/687346/raspberry-pi-ai-hat-plus-13-tops,69.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,69.99,False,True,
2025-10-13,772574,Raspberry Pi AI Hat 26 Tops,https://www.microcenter.com/product/687348/raspberry-pi-ai-hat-26-tops,109.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,109.99,False,True,
2025-10-15,772574,Raspberry Pi AI Hat 26 Tops,https://www.microcenter.com/product/687348/raspberry-pi-ai-hat-26-tops,109.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,109.99,False,True,
2025-10-13,772582,Raspberry Pi Touch Display 2,https://www.microcenter.com/product/687338/raspberry-pi-touch-display-2,99.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,99.99,False,True,
2025-10-15,772582,Raspberry Pi Touch Display 2,https://www.microcenter.com/product/687338/raspberry-pi-touch-display-2,99.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,99.99,False,True,
2025-10-13,772590,Raspberry Pi 15.6 in Full HD IPS Monitor,https://www.microcenter.com/product/687351/raspberry-pi-156-in-full-hd-ips-monitor,99.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,99.99,False,True,
2025-10-15,772590,Raspberry Pi 15.6 in Full HD IPS Monitor,https://www.microcenter.com/product/687351/raspberry-pi-156-in-full-hd-ips-monitor,99.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,99.99,False,True,
2025-10-13,773630,Raspberry Pi Bumper,https://www.microcenter.com/product/687340/raspberry-pi-bumper,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-15,773630,Raspberry Pi Bumper,https://www.microcenter.com/product/687340/raspberry-pi-bumper,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-13,773648,Raspberry Pi 256GB SSD Kit,https://www.microcenter.com/product/687343/raspberry-pi-256gb-ssd-kit,54.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,54.99,False,True,
2025-10-15,773648,Raspberry Pi 256GB SSD Kit,https://www.microcenter.com/product/687343/raspberry-pi-256gb-ssd-kit,54.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,54.99,False,True,
2025-10-13,773655,Raspberry Pi 512GB NVME Kit,https://www.microcenter.com/product/687344/raspberry-pi-512gb-nvme-kit,79.99,In Stock,Usually ships,Pi 5,512.0,Raspberry Pi,,79.99,False,True,
2025-10-15,773655,Raspberry Pi 512GB NVME Kit,https://www.microcenter.com/product/687344/raspberry-pi-512gb-nvme-kit,79.99,In Stock,Usually ships,Pi 5,512.0,Raspberry Pi,,79.99,False,True,
2025-10-13,774067,Raspberry Pi Pico 2 W,https://www.microcenter.com/product/687384/raspberry-pi-pico-2-w,5.99,Buy In Store,In-Store Pickup,Pico 2,,Raspberry Pi,,5.99,False,True,
2025-10-15,774067,Raspberry Pi Pico 2 W,https://www.microcenter.com/product/687384/raspberry-pi-pico-2-w,5.99,Buy In Store,In-Store Pickup,Pico 2,,Raspberry Pi,,5.99,False,True,
2025-10-13,774075,Raspberry Pi CM5 Development Kit,https://www.microcenter.com/product/687368/raspberry-pi-cm5-development-kit,129.99,Buy In Store,In-Store Pickup,Accessory,,Raspberry Pi,,129.99,False,True,
2025-10-15,774075,Raspberry Pi CM5 Development Kit,https://www.microcenter.com/product/687368/raspberry-pi-cm5-development-kit,129.99,Buy In Store,In-Store Pickup,Accessory,,Raspberry Pi,,129.99,False,True,
2025-10-13,783308,Raspberry Pi 32GB A2 SD Card and Card Reader,https://www.microcenter.com/product/687676/raspberry-pi-32gb-a2-sd-card-and-card-reader,14.99,In Stock,Usually ships,Pi 3,,Raspberry Pi,,14.99,False,True,
2025-10-15,783308,Raspberry Pi 32GB A2 SD Card and Card Reader,https://www.microcenter.com/product/687676/raspberry-pi-32gb-a2-sd-card-and-card-reader,14.99,In Stock,Usually ships,Pi 3,,Raspberry Pi,,14.99,False,True,
2025-10-13,783316,Raspberry Pi 64GB Card/Reader Kit,https://www.microcenter.com/product/687677/raspberry-pi-64gb-card-reader-kit,19.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,19.99,False,True,
2025-10-15,783316,Raspberry Pi 64GB Card/Reader Kit,https://www.microcenter.com/product/687677/raspberry-pi-64gb-card-reader-kit,19.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,19.99,False,True,
2025-10-13,783902,Raspberry Pi 500 - Unit Only,https://www.microcenter.com/product/688716/raspberry-pi-500-unit-only,89.99,In Stock,Usually ships,Pi 5,,Raspberry Pi,,89.99,False,True,
2025-10-15,783902,Raspberry Pi 500 - Unit Only,https://www.microcenter.com/product/688716/raspberry-pi-500-unit-only,89.99,In Stock,Usually ships,Pi 5,,Raspberry Pi,,89.99,False,True,
2025-10-13,783910,Raspberry Pi 500 Kit,https://www.microcenter.com/product/688717/raspberry-pi-500-kit,119.99,In Stock,Usually ships,Pi 5,,Raspberry Pi,,119.99,False,True,
2025-10-15,783910,Raspberry Pi 500 Kit,https://www.microcenter.com/product/688717/raspberry-pi-500-kit,119.99,In Stock,Usually ships,Pi 5,,Raspberry Pi,,119.99,False,True,
2025-10-15,784058,Raspberry Pi POE for Pi 3B and 4B,https://www.microcenter.com/product/688720/raspberry-pi-poe-for-pi-3b-and-4b,25.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,25.99,False,True,
2025-10-13,795484,"Raspberry Pi 7"" Pi Touchscreen LCD Display",https://www.microcenter.com/product/689848/raspberry-pi-7-pi-touchscreen-lcd-display,59.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,59.99,False,True,
2025-10-15,795484,"Raspberry Pi 7"" Pi Touchscreen LCD Display",https://www.microcenter.com/product/689848/raspberry-pi-7-pi-touchscreen-lcd-display,59.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,59.99,False,True,
2025-10-13,812891,Raspberry Pi Carbon Removal Credits,https://www.microcenter.com/product/690618/raspberry-pi-carbon-removal-credits,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-15,812891,Raspberry Pi Carbon Removal Credits,https://www.microcenter.com/product/690618/raspberry-pi-carbon-removal-credits,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-13,826859,Raspberry Pi Mini HDMI Male to HDMI Female - 0.5 ft,https://www.microcenter.com/product/690852/raspberry-pi-mini-hdmi-male-to-hdmi-female-05-ft,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-15,826859,Raspberry Pi Mini HDMI Male to HDMI Female - 0.5 ft,https://www.microcenter.com/product/690852/raspberry-pi-mini-hdmi-male-to-hdmi-female-05-ft,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-13,826867,Raspberry Pi White Mini HDMI to HDMI - 1 meter,https://www.microcenter.com/product/690853/raspberry-pi-white-mini-hdmi-to-hdmi-1-meter,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-15,826867,Raspberry Pi White Mini HDMI to HDMI - 1 meter,https://www.microcenter.com/product/690853/raspberry-pi-white-mini-hdmi-to-hdmi-1-meter,3.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,3.99,False,True,
2025-10-13,826875,Raspberry Pi White HDMI Cable - 2 meters,https://www.microcenter.com/product/690850/raspberry-pi-white-hdmi-cable-2-meters,4.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,4.99,False,True,
2025-10-15,826875,Raspberry Pi White HDMI Cable - 2 meters,https://www.microcenter.com/product/690850/raspberry-pi-white-hdmi-cable-2-meters,4.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,4.99,False,True,
2025-10-13,826883,Raspberry Pi Micro HDMI Male to HDMI Female Adapter (23cm) - White,https://www.microcenter.com/product/690851/raspberry-pi-micro-hdmi-male-to-hdmi-female-adapter-(23cm)-white,6.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,6.99,False,True,
2025-10-15,826883,Raspberry Pi Micro HDMI Male to HDMI Female Adapter (23cm) - White,https://www.microcenter.com/product/690851/raspberry-pi-micro-hdmi-male-to-hdmi-female-adapter-(23cm)-white,6.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,6.99,False,True,
2025-10-13,828988,Raspberry Pi Pico 2 with Header;  Dual ARM Cortex M33 Processor;  520KB RAM,https://www.microcenter.com/product/692333/raspberry-pi-pico-2-with-header,4.99,In Stock,Usually ships,Pico 2,,Raspberry Pi,,4.99,False,True,
2025-10-15,828988,Raspberry Pi Pico 2 with Header;  Dual ARM Cortex M33 Processor;  520KB RAM,https://www.microcenter.com/product/692333/raspberry-pi-pico-2-with-header,4.99,In Stock,Usually ships,Pico 2,,Raspberry Pi,,4.99,False,True,
2025-10-13,828996,Raspberry Pi Pico 2W with Header,https://www.microcenter.com/product/692334/raspberry-pi-pico-2w-with-header,6.99,Buy In Store,In-Store Pickup,Pico 2,,Raspberry Pi,,6.99,False,True,
2025-10-15,828996,Raspberry Pi Pico 2W with Header,https://www.microcenter.com/product/692334/raspberry-pi-pico-2w-with-header,6.99,Buy In Store,In-Store Pickup,Pico 2,,Raspberry Pi,,6.99,False,True,
2025-10-13,829002,Raspberry Pi 45W USB-C Power Supply,https://www.microcenter.com/product/692335/raspberry-pi-45w-usb-c-power-supply,14.99,Buy In Store,In-Store Pickup,Pi 4,,Raspberry Pi,,14.99,False,True,
2025-10-15,829002,Raspberry Pi 45W USB-C Power Supply,https://www.microcenter.com/product/692335/raspberry-pi-45w-usb-c-power-supply,14.99,Buy In Store,In-Store Pickup,Pi 4,,Raspberry Pi,,14.99,False,True,
2025-10-13,829283,Raspberry Pi PoE Injector,https://www.microcenter.com/product/692332/raspberry-pi-poe-injector,39.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,39.99,False,True,
2025-10-15,829283,Raspberry Pi PoE Injector,https://www.microcenter.com/product/692332/raspberry-pi-poe-injector,39.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,39.99,False,True,
2025-10-13,850289,Raspberry Pi 3 Model A+ Board;  Broadcom BCM2837B0 64bit ARM Cortex-53 Quad Core Processor @ 1.4GHz;  512MB Onboard Memory,https://www.microcenter.com/product/514076/raspberry-pi-3-model-a-board,24.99,Buy In Store,Buy In Store,Pi 3,0.5,Raspberry Pi,,24.99,False,True,
2025-10-15,850289,Raspberry Pi 3 Model A+ Board;  Broadcom BCM2837B0 64bit ARM Cortex-53 Quad Core Processor @ 1.4GHz;  512MB Onboard Memory,https://www.microcenter.com/product/514076/raspberry-pi-3-model-a-board,24.99,Buy In Store,Buy In Store,Pi 3,0.5,Raspberry Pi,,24.99,False,True,
2025-10-13,865022,Raspberry Pi 3 Model A+ Official Case - White/Red,https://www.microcenter.com/product/600892/raspberry-pi-3-model-a-official-case-white-red,4.99,In Stock,Usually ships,Pi 3,,Raspberry Pi,,4.99,False,True,
2025-10-15,865022,Raspberry Pi 3 Model A+ Official Case - White/Red,https://www.microcenter.com/product/600892/raspberry-pi-3-model-a-official-case-white-red,4.99,In Stock,Usually ships,Pi 3,,Raspberry Pi,,4.99,False,True,
2025-10-13,87288,Raspberry Pi 16mm Telephoto Lens for HQ Camera;  16mm Focal length;  F1.4 - 16 Aperture,https://www.microcenter.com/product/621304/raspberry-pi-16mm-telephoto-lens-for-hq-camera,78.99,Buy In Store,In-Store Pickup,Accessory,,Raspberry Pi,,78.99,False,True,
2025-10-15,87288,Raspberry Pi 16mm Telephoto Lens for HQ Camera;  16mm Focal length;  F1.4 - 16 Aperture,https://www.microcenter.com/product/621304/raspberry-pi-16mm-telephoto-lens-for-hq-camera,78.99,Buy In Store,In-Store Pickup,Accessory,,Raspberry Pi,,78.99,False,True,
2025-10-13,872945,Raspberry Pi 3 Model B+,https://www.microcenter.com/product/601561/raspberry-pi-3-model-b,34.99,Buy In Store,Buy In Store,Pi 3,,Raspberry Pi,,34.99,False,True,
2025-10-15,872945,Raspberry Pi 3 Model B+,https://www.microcenter.com/product/601561/raspberry-pi-3-model-b,34.99,Buy In Store,Buy In Store,Pi 3,,Raspberry Pi,,34.99,False,True,
2025-10-13,87320,Raspberry Pi 4 Model B;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  2GB DDR4 RAM,https://www.microcenter.com/product/621439/raspberry-pi-4-model-b,44.99,Buy In Store,Buy In Store,Pi 4,2.0,Raspberry Pi,,44.99,False,True,
