sku,name,price,availability,stock,url
558312,Raspberry Pi 4 Model B;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  1GB DDR4 RAM,$34.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/665122/raspberry-pi-4-model-b
531640,Raspberry Pi Camera Lens 5MP 25MM,$18.99,Usually ships,In Stock,https://www.microcenter.com/product/662034/raspberry-pi-camera-lens-5mp-25mm
774075,Raspberry Pi CM5 Development Kit,$129.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/687368/raspberry-pi-cm5-development-kit
991380,Raspberry Pi Model 3 Model B Case,$8.99,Usually ships,In Stock,https://www.microcenter.com/product/461222/raspberry-pi-model-3-model-b-case
865022,Raspberry Pi 3 Model A+ Official Case - White/Red,$4.99,Usually ships,In Stock,https://www.microcenter.com/product/600892/raspberry-pi-3-model-a-official-case-white-red
740035,Raspberry Pi 5 8GB - Ultimate Kit,$159.99,Usually ships,In Stock,https://www.microcenter.com/product/683916/raspberry-pi-5-8gb-ultimate-kit
826875,Raspberry Pi White HDMI Cable - 2 meters,$4.99,Usually ships,In Stock,https://www.microcenter.com/product/690850/raspberry-pi-white-hdmi-cable-2-meters
531962,Raspberry Pi M12 Lens;  12 Megapixel;  8mm;  Portrait Lens,$37.99,Usually ships,In Stock,https://www.microcenter.com/product/662052/raspberry-pi-m12-lens
917112,Raspberry Pi RASPBERRY PI 500 PLUS KIT,$199.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/699778/raspberry-pi-raspberry-pi-500-plus-kit
917096,Raspberry Pi 500 PLUS,$179.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/699777/raspberry-pi-500-plus
740639,Raspberry Pi 4 Accessories Kit,$34.99,Usually ships,In Stock,https://www.microcenter.com/product/683904/raspberry-pi-4-accessories-kit
87288,Raspberry Pi 16mm Telephoto Lens for HQ Camera;  16mm Focal length;  F1.4 - 16 Aperture,$78.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/621304/raspberry-pi-16mm-telephoto-lens-for-hq-camera
829283,Raspberry Pi PoE Injector,$39.99,Usually ships,In Stock,https://www.microcenter.com/product/692332/raspberry-pi-poe-injector
892984,Raspberry Pi M.2 HAT+ (Compact),$14.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/697844/raspberry-pi-m2-hat-(compact)
170076,Raspberry Pi Ceramic Mug,$9.99,Usually ships,In Stock,https://www.microcenter.com/product/627907/raspberry-pi-ceramic-mug
548610,Raspberry Pi Global Shutter Camera,$55.99,Usually ships,In Stock,https://www.microcenter.com/product/663805/raspberry-pi-global-shutter-camera
812891,Raspberry Pi Carbon Removal Credits,$3.99,Usually ships,In Stock,https://www.microcenter.com/product/690618/raspberry-pi-carbon-removal-credits
720128,Raspberry Pi 5 Desktop Kit - 8GB,$139.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/682123/raspberry-pi-5-desktop-kit-8gb
